ID,제목,저자,발행처,발행년월일,발행년,수량,가격,본문언어,비매품여부,이용대상,카테고리
NBC20241538705,"""황금시대""의 중국 아동문학",주쯔창;둥레이,學古房,2024-05-31,2024,264 p.,22500,kor,N,전문,소설/문학
NBC20241538745,"(""한 권으로 끝내는"") 시원스쿨 처음토익 550+",시원스쿨어학연구소,시원스쿨 LAB 에스제이더블유인터내셔널,2024------,2024,271 p.,11400,kor,N,일반,외국어
NBC20241538746,(#빅분기30일합격 2024) 빅데이터분석기사:,최우슬;최다정,아이리포,2024------,2024.0,"460, 540 p.",41100,kor,N,일반,IT/컴퓨터
NBC20241525823,(0~3세) 영어 말문을 트는 결정적 순간,오로리맘,넥서스,2024-02-29,2024,전자책 1책,35100,eng,N,일반,외국어
NBC20241538773,(100일 100문장으로 원어민처럼 말하는) 손주랑 생활영어 100,파워잉글리시,일상이상(일상과 이상),2024-05-10,2024,239 p.,42900,kor,N,일반,외국어
NBC20241538782,(10대라면 반드시 알아야 할) 우리 고전 문학,한기호,팬덤북스,2024-03-30,2024,194 p.,32500,kor,N,아동청소년,소설/문학
NBC20241538804,(10일 만에 끝내는) 영단어 1000,김진호,퍼플,2024-01-05,2024,395 p.,27000,kor,N,일반,외국어
NBC20241538805,(10일 만에 끝내는) 영단어 1000,김진호,퍼플,2024-01-05,2024,395 p.,33400,kor,N,일반,외국어
NBC20241538806,(10일 만에 끝내는)해커스 토익 스피킹 스타트,조 데이비드,해커스어학연구소,2024------,2024,281 p.,39300,kor,N,일반,외국어
NBC20241538808,(11권의 그림책으로 만나는) 평화통일 수업,곽인숙;김선아;김민희;이정원;이효정;경기평화교육센터,살림터,2024-08-08,2024,294 p.,29700,kor,N,일반,어린이
NBC20241538825,(1898년 후반-1920년대 중반) 여성문학의 탄생,여성문학사연구모임,민음사,2024------,2024.0,323 p.,31400,kor,N,일반,소설/문학
