ID,제목,저자,발행처,발행년월일,발행년,수량,가격,본문언어,비매품여부,이용대상,카테고리
NBC20241538705,"""황금시대""의 중국 아동문학",주쯔창;둥레이,學古房,2024-05-31,2024,264 p.,22500,kor,N,전문,소설/문학
NBC20241538720,'광주 푸른길' 사회경제적 효과 분석 및 '걷고 싶은 길' 조성 방향,하지혜;최성환;김일권;김봉진;박주연;정소예,광주연구원,2024-08-01,2024,167 p.,20500,kor,Y,전문,경제/경영
NBC20241538727,'대한민국의 미래' 행복한가요?,최분희,책밭,2024------,2024.0,215 p.,17100,kor,U,일반,자기계발
NBC20241538742,"'행복'의 문을 여는 삶, 잠언",곽명수,쿰란출판사,2024-09-20,2024,343 p.,30900,kor,N,전문,자기계발
NBC20241538745,"(""한 권으로 끝내는"") 시원스쿨 처음토익 550+",시원스쿨어학연구소,시원스쿨 LAB 에스제이더블유인터내셔널,2024------,2024,271 p.,11400,kor,N,일반,외국어
NBC20241538746,(#빅분기30일합격 2024) 빅데이터분석기사:,최우슬;최다정,아이리포,2024------,2024.0,"460, 540 p.",41100,kor,N,일반,IT/컴퓨터
NBC20241525823,(0~3세) 영어 말문을 트는 결정적 순간,오로리맘,넥서스,2024-02-29,2024,전자책 1책,35100,eng,N,일반,외국어
NBC20241538772,(100억을 만드는) 스몰머니 투자법,유근용,쌤앤파커스,2024-08-02,2024,303 p.,21900,kor,N,일반,경제/경영
NBC20241538773,(100일 100문장으로 원어민처럼 말하는) 손주랑 생활영어 100,파워잉글리시,일상이상(일상과 이상),2024-05-10,2024,239 p.,42900,kor,N,일반,외국어
NBC20241538778,(10년 10만 번의 단톡방 질문을 통해 알게 된) 누구나 알고 싶어 하는 아파트 투자 방법,구만수,두드림미디어,2024-02-05,2024,345 p.,38000,kor,N,일반,경제/경영
NBC20241538780,(10대라면 반드시 알아야 할) 논리적 글쓰기를 위한 인문고전 100,이시연;함영대,팬덤북스,2024-05-27,2024,611 p.,33100,kor,N,아동청소년,역사/인문
NBC20241538782,(10대라면 반드시 알아야 할) 우리 고전 문학,한기호,팬덤북스,2024-03-30,2024,194 p.,32500,kor,N,아동청소년,소설/문학
NBC20241538787,(10대를 위한) 경제를 일으킨 결정적 질문,박정현,다른,2024-03-18,2024,183 p.,33500,kor,N,아동청소년,경제/경영
NBC20241538790,(10대를 위한) 데일 카네기 성공대화론,Carnegie Dale;카네기클래스,책이라는신화,2024-10-10,2024,223 p.,23000,kor,N,아동청소년,자기계발
NBC20241538804,(10일 만에 끝내는) 영단어 1000,김진호,퍼플,2024-01-05,2024,395 p.,27000,kor,N,일반,외국어
NBC20241538805,(10일 만에 끝내는) 영단어 1000,김진호,퍼플,2024-01-05,2024,395 p.,33400,kor,N,일반,외국어
NBC20241538806,(10일 만에 끝내는)해커스 토익 스피킹 스타트,조 데이비드,해커스어학연구소,2024------,2024,281 p.,39300,kor,N,일반,외국어
NBC20241538808,(11권의 그림책으로 만나는) 평화통일 수업,곽인숙;김선아;김민희;이정원;이효정;경기평화교육센터,살림터,2024-08-08,2024,294 p.,29700,kor,N,일반,어린이
NBC20241538820,(1400년 중동의 역사와 문화가 단숨에 이해되는) 세상 친절한 이슬람 역사,Tolan John;박효은,미래의창,2024-01-30,2024,391 p.,38000,kor,N,일반,역사/인문
NBC20241538822,(14주만에 완성하는) e-비즈니스 창업과 성공 전략,박소라,퍼플,2024-04-18,2024,244 p.,24900,kor,N,일반,경제/경영
NBC20241538825,(1898년 후반-1920년대 중반) 여성문학의 탄생,여성문학사연구모임,민음사,2024------,2024.0,323 p.,31400,kor,N,일반,소설/문학
NBC20241538840,(1Qpass) 임상심리사,이경희,다락원,2024-11-11,2024,717 p.,40300,kor,N,일반,역사/인문
NBC20241538841,(1Qpass) 임상심리사,이경희,다락원,2024-12-10,2024,349 p.,18000,kor,N,일반,역사/인문
NBC20241538847,(1년에 경매 1건으로 연봉 버는) 월급쟁이 투자 전략,이창민,좋은생각사람들,2024-03-06,2024,254 p.,15700,kor,N,일반,경제/경영
NBC20241538849,(1인 기업가를 만드는) 성공 법칙,김서한,YES24,2024------,2024,전자책 1책 (304 p.),43600,kor,N,일반,자기계발
NBC20241538850,(1인 기업가를 만드는) 성공 법칙,김서한,미다스북스,2024-10-24,2024,304 p.,39200,kor,N,일반,자기계발
NBC20241538857,(1일 1패턴 30일만에 끝내는) 딱 30패턴으로 잡는 영어회화,Willamson Nic,더북에듀 The북,2024------,2024.0,215 p.,12900,kor,N,일반,외국어
NBC20241538867,(2015 개정 교육과정에 따른)고등학교 중국어,이종민;노민경;김효정;이예지;정하윤;조향아;그림숲,정진출판사,2024------,2024,231 p.,33200,kor,N,일반,외국어
NBC20241525836,(2019 개정 누리과정과 제4차 어린이집 표준보육과정에 기초한) 영유아 음악교육의 이해와 적용,김혜영(KAC201410355);우정순(KAC201410359),태영출판,2024-07-01,2024,전자책 1책,28800,kor,N,일반,어린이
NBC20241538869,(2019 개정 누리과정과 제4차 어린이집 표준보육과정을 반영한) 영유아 건강교육,김경철;김인애;박혜정;이민영;이성주;최우수;한유진,어가,2024-07-05,2024,374 p.,17600,kor,N,전문,어린이
NBC20241538873,(2021 슬기로운합격생활) 전산회계1급,유삼태,퍼플,2024-04-30,2024,432 p.,34300,kor,N,일반,경제/경영
NBC20241538913,(2022년) GRDP로 살펴 본 충북경제,설영훈;이유환,CRI 충북연구원,2024------,2024.0,19 p.,41800,kor,N,일반,경제/경영
NBC20241538939,(2023)도서관 길 위의 인문학 사업 결과보고서,문화체육관광부;한국도서관협회,문화체육관광부 한국도서관협회,2024------,2024,419 p.,20900,kor,U,일반,소설/문학
NBC20241538940,(2023)도서관 길 위의 인문학 사업 결과보고서,문화체육관광부;한국도서관협회,문화체육관광부 한국도서관협회,2024------,2024,175 p.,20300,kor,U,일반,소설/문학
