user_id,gender,age,profile,location,promo_sensitivity,device,ever
00000001,남성,18,중고생,광주시 서구,high,iPhone,True
00000002,여성,19,중고생,광주시 북구,medium,iPhone,True
00000003,여성,25,기타,대전시 중구,low,iPhone,False
00000004,여성,16,중고생,부산시 해운대구,low,Galaxy,True
00000005,남성,46,기타,대구시 수성구,high,iPhone,False
00000006,남성,54,직장인,부산시 해운대구,low,Galaxy,False
00000007,남성,16,중고생,서울시 서초구,medium,iPhone,False
00000008,남성,21,대학생,대구시 달서구,low,iPhone,True
00000009,여성,36,직장인,광주시 서구,medium,Galaxy,False
00000010,여성,20,대학생,서울시 강남구,medium,Galaxy,True
00000011,남성,48,직장인,대구시 달서구,low,Galaxy,True
00000012,남성,56,기타,서울시 송파구,low,iPhone,True
00000013,여성,16,기타,대전시 유성구,low,Galaxy,True
00000014,여성,18,중고생,부산시 남구,high,iPhone,False
00000015,여성,29,직장인,대구시 북구,medium,iPhone,False
00000016,남성,14,중고생,대전시 중구,high,Galaxy,True
00000017,기타,19,중고생,부산시 부산진구,low,iPhone,False
00000018,남성,16,중고생,인천시 연수구,medium,Galaxy,False
00000019,남성,65,기타,대전시 유성구,medium,Galaxy,False
00000020,남성,15,기타,대전시 서구,high,iPhone,False
00000021,남성,48,직장인,부산시 해운대구,medium,iPhone,True
00000022,여성,26,대학생,부산시 해운대구,medium,iPhone,False
00000023,기타,16,기타,광주시 서구,low,iPhone,False
00000024,여성,23,대학생,부산시 동래구,medium,Galaxy,True
00000025,남성,17,중고생,대전시 중구,low,iPhone,True
00000026,여성,44,직장인,대전시 유성구,low,Galaxy,True
00000027,여성,21,대학생,서울시 마포구,low,Galaxy,True
00000028,남성,22,대학생,서울시 서초구,high,iPhone,True
00000029,여성,26,대학생,대전시 유성구,low,iPhone,True
00000030,남성,32,직장인,광주시 북구,low,iPhone,False
00000031,여성,30,기타,대구시 중구,high,iPhone,False
00000032,여성,38,기타,인천시 남동구,high,Galaxy,False
00000033,여성,14,중고생,대구시 중구,low,iPhone,False
00000034,기타,26,대학생,부산시 동래구,high,iPhone,False
00000035,여성,16,중고생,광주시 서구,low,iPhone,False
00000036,남성,16,중고생,서울시 종로구,high,Galaxy,False
00000037,남성,32,직장인,서울시 송파구,high,Galaxy,True
00000038,남성,26,기타,광주시 광산구,low,iPhone,True
00000039,남성,23,대학생,인천시 연수구,low,iPhone,False
00000040,여성,54,직장인,인천시 서구,medium,iPhone,True
00000041,남성,67,기타,대전시 서구,low,Galaxy,False
00000042,남성,59,기타,인천시 부평구,low,Galaxy,False
00000043,여성,35,직장인,대전시 유성구,high,iPhone,True
00000044,남성,39,기타,서울시 송파구,low,iPhone,False
00000045,여성,53,기타,대전시 서구,high,Galaxy,False
00000046,여성,37,기타,대전시 서구,low,iPhone,True
00000047,남성,66,기타,인천시 연수구,high,Galaxy,False
00000048,여성,20,기타,서울시 서초구,medium,iPhone,True
00000049,남성,32,직장인,대구시 북구,low,iPhone,False
00000050,남성,17,중고생,대구시 달서구,medium,iPhone,True
00000051,여성,48,직장인,대구시 중구,medium,Galaxy,False
00000052,남성,21,대학생,광주시 서구,low,iPhone,True
00000053,남성,68,기타,광주시 북구,low,Galaxy,True
00000054,남성,21,대학생,부산시 해운대구,high,iPhone,True
00000055,여성,42,직장인,부산시 해운대구,low,Galaxy,True
00000056,남성,22,대학생,대전시 서구,low,iPhone,False
00000057,여성,27,직장인,대전시 서구,medium,iPhone,False
00000058,남성,19,중고생,인천시 연수구,high,Galaxy,False
00000059,여성,44,직장인,광주시 광산구,low,Galaxy,False
00000060,여성,18,중고생,광주시 서구,high,Galaxy,False
00000061,여성,35,직장인,광주시 광산구,high,iPhone,True
00000062,여성,43,직장인,대전시 서구,medium,Galaxy,True
00000063,여성,45,직장인,대전시 중구,low,Galaxy,False
00000064,남성,66,기타,부산시 동래구,low,Galaxy,True
00000065,여성,24,대학생,대전시 유성구,medium,iPhone,True
00000066,남성,30,직장인,인천시 남동구,low,iPhone,False
00000067,남성,23,대학생,광주시 광산구,medium,iPhone,False
00000068,남성,26,대학생,광주시 북구,medium,Galaxy,True
00000069,남성,46,직장인,서울시 마포구,high,Galaxy,True
00000070,남성,38,기타,대구시 중구,high,Galaxy,True
00000071,여성,55,직장인,대구시 수성구,high,Galaxy,True
00000072,남성,16,중고생,대구시 수성구,high,Galaxy,False
00000073,남성,51,직장인,부산시 수영구,medium,Galaxy,False
00000074,여성,26,대학생,부산시 해운대구,high,iPhone,False
00000075,남성,60,기타,인천시 서구,medium,Galaxy,False
00000076,여성,24,대학생,서울시 강남구,medium,Galaxy,False
00000077,여성,31,기타,인천시 서구,medium,iPhone,False
00000078,여성,16,중고생,광주시 북구,low,Galaxy,False
00000079,여성,23,대학생,광주시 서구,low,Galaxy,False
00000080,남성,60,기타,광주시 북구,low,iPhone,True
00000081,여성,43,직장인,광주시 서구,medium,Galaxy,True
00000082,남성,20,대학생,대구시 달서구,high,Galaxy,False
00000083,남성,14,중고생,대전시 서구,medium,iPhone,True
00000084,남성,19,기타,광주시 광산구,high,iPhone,True
00000085,남성,23,대학생,서울시 서초구,high,iPhone,False
00000086,남성,14,중고생,대전시 유성구,medium,iPhone,True
00000087,남성,50,기타,대구시 달서구,high,Galaxy,False
00000088,여성,29,직장인,대전시 중구,low,iPhone,False
00000089,남성,18,중고생,대구시 달서구,high,iPhone,False
00000090,남성,26,대학생,광주시 서구,high,Galaxy,False
00000091,여성,54,직장인,부산시 남구,low,Galaxy,False
00000092,남성,19,중고생,대전시 유성구,low,Galaxy,False
00000093,남성,65,기타,광주시 서구,medium,Galaxy,False
00000094,남성,15,중고생,광주시 광산구,medium,iPhone,False
00000095,여성,18,기타,대구시 수성구,low,iPhone,False
00000096,여성,24,대학생,서울시 송파구,low,Galaxy,True
00000097,여성,20,대학생,서울시 서초구,low,iPhone,True
00000098,남성,22,대학생,인천시 남동구,medium,iPhone,False
00000099,여성,45,직장인,대구시 수성구,low,Galaxy,False
00000100,여성,65,기타,대구시 북구,low,Galaxy,True
00000101,여성,25,대학생,대전시 중구,high,iPhone,True
00000102,남성,26,대학생,인천시 남동구,medium,Galaxy,True
00000103,남성,14,중고생,대전시 중구,medium,iPhone,False
00000104,남성,31,직장인,부산시 남구,medium,Galaxy,False
00000105,남성,26,대학생,인천시 부평구,high,Galaxy,False
00000106,남성,14,중고생,인천시 남동구,medium,iPhone,False
00000107,여성,19,중고생,부산시 수영구,high,Galaxy,True
00000108,여성,15,중고생,대구시 중구,high,iPhone,False
00000109,여성,24,대학생,대구시 북구,low,iPhone,True
00000110,남성,36,직장인,인천시 남동구,high,Galaxy,False
00000111,여성,35,기타,부산시 남구,high,Galaxy,False
00000112,여성,22,대학생,대구시 북구,high,Galaxy,False
00000113,여성,18,기타,대전시 유성구,low,Galaxy,True
00000114,남성,14,중고생,서울시 영등포구,low,Galaxy,True
00000115,남성,24,대학생,부산시 부산진구,low,iPhone,False
00000116,여성,23,대학생,서울시 송파구,medium,Galaxy,True
00000117,여성,39,직장인,대구시 달서구,low,iPhone,False
00000118,남성,56,기타,서울시 서초구,low,Galaxy,True
00000119,남성,33,기타,대구시 북구,medium,iPhone,True
00000120,남성,59,기타,부산시 부산진구,low,Galaxy,False
00000121,여성,15,중고생,광주시 북구,low,iPhone,True
00000122,여성,14,중고생,인천시 연수구,high,Galaxy,False
00000123,여성,48,직장인,대전시 중구,medium,Galaxy,True
00000124,남성,26,대학생,인천시 남동구,high,iPhone,True
00000125,여성,27,기타,서울시 송파구,medium,iPhone,False
00000126,남성,23,대학생,부산시 수영구,medium,iPhone,True
00000127,남성,24,대학생,부산시 수영구,medium,iPhone,False
00000128,여성,15,중고생,대전시 중구,medium,iPhone,False
00000129,남성,64,기타,서울시 마포구,medium,Galaxy,True
00000130,남성,46,직장인,부산시 동래구,low,Galaxy,True
00000131,남성,18,중고생,서울시 영등포구,medium,iPhone,False
00000132,기타,35,직장인,광주시 북구,low,iPhone,True
00000133,여성,26,대학생,인천시 남동구,low,iPhone,False
00000134,남성,20,대학생,대전시 서구,low,iPhone,True
00000135,여성,42,직장인,대전시 서구,medium,Galaxy,False
00000136,남성,16,중고생,서울시 영등포구,low,Galaxy,True
00000137,여성,21,대학생,부산시 수영구,low,iPhone,True
00000138,남성,30,직장인,서울시 영등포구,low,iPhone,False
00000139,남성,26,대학생,대구시 달서구,high,Galaxy,True
00000140,여성,31,기타,대구시 중구,medium,Galaxy,False
00000141,남성,26,대학생,대전시 서구,medium,iPhone,True
00000142,남성,42,기타,광주시 북구,low,Galaxy,True
00000143,여성,24,대학생,서울시 서초구,high,iPhone,True
00000144,여성,19,중고생,서울시 서초구,medium,iPhone,True
00000145,남성,21,대학생,부산시 해운대구,low,Galaxy,False
00000146,기타,35,직장인,서울시 송파구,low,iPhone,False
00000147,남성,50,기타,인천시 연수구,low,Galaxy,False
00000148,여성,31,직장인,부산시 남구,high,Galaxy,False
00000149,남성,22,대학생,대구시 달서구,low,iPhone,False
00000150,남성,26,대학생,인천시 남동구,high,iPhone,False
00000151,여성,46,직장인,광주시 광산구,medium,Galaxy,True
00000152,여성,30,직장인,광주시 북구,high,Galaxy,False
00000153,여성,42,기타,대구시 수성구,high,Galaxy,True
00000154,남성,46,기타,부산시 남구,high,Galaxy,True
00000155,남성,33,직장인,부산시 남구,medium,iPhone,False
00000156,남성,47,직장인,대구시 달서구,medium,Galaxy,False
00000157,여성,22,대학생,부산시 남구,high,iPhone,False
00000158,여성,19,중고생,대구시 달서구,low,Galaxy,True
00000159,여성,48,직장인,서울시 서초구,low,Galaxy,True
00000160,남성,21,대학생,광주시 북구,high,Galaxy,False
00000161,남성,27,기타,대구시 달서구,high,Galaxy,True
00000162,남성,25,대학생,광주시 북구,high,iPhone,False
00000163,남성,15,중고생,서울시 서초구,high,iPhone,False
00000164,여성,38,직장인,대전시 유성구,low,iPhone,True
00000165,여성,45,직장인,대전시 중구,low,iPhone,True
00000166,남성,70,기타,대전시 서구,high,Galaxy,True
00000167,남성,28,직장인,광주시 북구,medium,iPhone,False
00000168,남성,45,직장인,대구시 중구,medium,Galaxy,True
00000169,여성,22,기타,대전시 유성구,low,iPhone,True
00000170,남성,17,중고생,대전시 유성구,high,Galaxy,True
00000171,여성,55,기타,부산시 동래구,high,Galaxy,False
